iter	Passed	Remaining
743	138638	47703
744	138816	47514
745	138984	47321
746	139172	47136
747	139366	46952
748	139517	46754
749	139718	46572
750	139905	46386
751	140059	46189
752	140252	46005
753	140420	45813
754	140550	45609
755	140718	45417
756	140917	45235
757	141090	45044
758	141276	44858
759	141475	44676
760	141671	44493
761	141850	44304
762	142054	44124
763	142214	43930
764	142418	43749
765	142579	43555
766	142784	43375
767	142994	43196
768	143214	43020
769	143421	42840
770	143566	42641
771	143766	42459
772	143979	42281
773	144188	42101
774	144389	41919
775	144557	41727
776	144717	41534
777	144879	41341
778	145029	41144
779	145229	40962
780	145434	40781
781	145633	40598
782	145799	40406
783	145990	40221
784	146148	40027
785	146315	39836
786	146484	39645
787	146672	39460
788	146851	39272
789	147035	39085
790	147206	38895
791	147348	38697
792	147532	38510
793	147720	38325
794	147932	38146
795	148092	37953
796	148267	37764
797	148459	37579
798	148596	37381
799	148809	37202
800	148973	37010
801	149147	36821
802	149303	36628
803	149458	36435
804	149631	36246
805	149800	36056
806	149958	35863
807	150149	35679
808	150329	35491
809	150553	35315
810	150746	35130
811	150906	34938
812	151089	34752
813	151291	34570
814	151438	34375
815	151654	34196
816	151864	34016
817	152056	33831
818	152277	33653
819	152489	33473
820	152645	33280
821	152869	33103
822	153053	32916
823	153217	32726
824	153389	32537
825	153598	32356
826	153795	32172
827	153980	31986
828	154136	31794
829	154291	31601
830	154491	31418
831	154688	31235
832	154900	31054
833	155094	30870
834	155258	30679
835	155474	30499
836	155655	30312
837	155850	30128
838	156017	29939
839	156195	29751
840	156356	29560
841	156534	29373
842	156679	29179
843	156844	28990
844	157036	28805
845	157205	28616
846	157399	28432
847	157614	28251
848	157815	28068
849	157991	27880
850	158189	27697
851	158371	27510
852	158571	27327
853	158769	27143
854	158926	26952
855	159103	26765
856	159271	26576
857	159422	26384
858	159647	26205
859	159783	26011
860	159925	25818
861	160100	25631
862	160256	25440
863	160461	25257
864	160654	25073
865	160819	24884
866	160961	24691
867	161174	24510
868	161346	24322
869	161546	24139
870	161726	23952
871	161884	23762
872	162093	23580
873	162240	23389
874	162398	23199
875	162607	23017
876	162804	22833
877	162980	22646
878	163162	22460
879	163340	22273
880	163481	22082
881	163624	21890
882	163834	21708
883	164038	21525
884	164224	21339
885	164405	21153
886	164580	20966
887	164772	20782
888	164969	20598
889	165140	20410
890	165357	20228
891	165556	20044
892	165722	19857
893	165907	19671
894	166119	19488
895	166298	19302
896	166499	19118
897	166644	18928
898	166821	18741
899	166997	18555
900	167176	18369
901	167365	18183
902	167559	17999
903	167749	17814
904	167945	17629
905	168116	17442
906	168293	17256
907	168483	17071
908	168675	16886
909	168871	16701
910	169054	16515
911	169229	16329
912	169417	16143
913	169575	15955
914	169779	15771
915	169987	15588
916	170192	15404
917	170339	15215
918	170503	15028
919	170709	14844
920	170852	14655
921	170998	14466
922	171202	14282
923	171400	14097
924	171595	13913
925	171755	13725
926	171913	13537
927	172102	13352
928	172284	13167
929	172458	12980
930	172662	12796
931	172854	12611
932	173084	12429
933	173291	12245
934	173486	12060
935	173688	11876
936	173860	11689
937	174016	11502
938	174217	11317
939	174388	11131
940	174598	10947
941	174760	10760
942	174936	10574
943	175129	10389
944	175336	10204
945	175513	10018
946	175670	9831
947	175825	9644
948	176017	9459
949	176186	9272
950	176371	9087
951	176514	8899
952	176695	8714
953	176904	8529
954	177099	8345
955	177294	8160
956	177471	7974
957	177679	7789
958	177872	7604
959	178033	7418
960	178233	7233
961	178383	7046
962	178585	6861
963	178809	6677
964	179023	6493
965	179217	6307
966	179396	6122
967	179548	5935
968	179705	5749
969	179898	5563
970	180101	5378
971	180303	5193
972	180521	5009
973	180714	4823
974	180892	4638
975	181052	4452
976	181242	4266
977	181410	4080
978	181605	3895
979	181790	3710
980	181964	3524
981	182122	3338
982	182320	3153
983	182495	2967
984	182674	2781
985	182886	2596
986	183042	2410
987	183227	2225
988	183428	2040
989	183617	1854
990	183790	1669
991	183951	1483
992	184160	1298
993	184339	1112
994	184511	927
995	184697	741
996	184841	556
997	185032	370
998	185244	185
999	185426	0
